object,alias,star_id,R_mag,V_mag,R_mag_err,V_mag_err,catalogue,coordinate_status,notes
IC 1495,"IC 5327; MCG-02-59-024; PGC 71631; 2MIG 3166",1,13.994,14.544,,,IAC80 working field calibration,pending import,"Numbering follows supplied IC1495 finding chart"
IC 1495,"IC 5327; MCG-02-59-024; PGC 71631; 2MIG 3166",2,15.374,15.816,,,IAC80 working field calibration,pending import,"Numbering follows supplied IC1495 finding chart"
IC 1495,"IC 5327; MCG-02-59-024; PGC 71631; 2MIG 3166",3,13.489,13.876,,,IAC80 working field calibration,pending import,"Numbering follows supplied IC1495 finding chart"
